SensorActivityACC: x=0.0 y=0.19692309 z=8.978256
ACC: x=-0.092775315 y=1.9949685 z=7.892486
ACC: x=-1.3934253 y=3.0789435 z=7.583634
ACC: x=-2.1200657 y=4.259285 z=10.899005
GY: rotation around x axis=0.7680557 around y axis=-1.2229236 around z axis=-0.04261058
ACC: x=-1.9668367 y=4.780622 z=3.394978
ACC: x=-2.0805612 y=5.2995653 z=6.0166287
ACC: x=-3.080739 y=3.655946 z=9.783905
ACC: x=-3.1597476 y=3.7074213 z=10.893618
ACC: x=-2.854487 y=2.480393 z=9.68694
ACC: x=-2.7341783 y=2.3181858 z=8.110957
ACC: x=-2.77069 y=3.445855 z=8.47727
ACC: x=-2.654571 y=4.0683475 z=8.84059
ACC: x=-2.2667105 y=3.490746 z=8.854955
GY: rotation around x axis=0.0 around y axis=0.8426242 around z axis=0.11504856
ACC: x=-2.3756466 y=2.5929205 z=5.825691
ACC: x=-3.2094274 y=3.0238767 z=6.7863646
ACC: x=-2.908955 y=3.7840357 z=8.996812
ACC: x=-2.3900118 y=3.2124202 z=10.123283
ACC: x=-2.144606 y=3.3381157 z=9.120711
ACC: x=-1.555034 y=3.028665 z=7.6530657
ACC: x=-2.0248961 y=3.120842 z=7.4908586
ACC: x=-2.4839842 y=3.6337996 z=7.7266874
