SensorActivityACC: x=-0.039504327 y=0.16879122 z=9.331401
ACC: x=-1.3599066 y=2.7180176 z=4.373009
ACC: x=-1.8734628 y=1.1647792 z=6.399701
ACC: x=-0.85891986 y=5.4342394 z=2.146402
ACC: x=2.5384524 y=2.4863784 z=1.751957
ACC: x=-1.2922704 y=4.398747 z=7.0994067
ACC: x=-3.4141316 y=5.729325 z=10.972028
ACC: x=-2.9149406 y=5.898116 z=5.6856303
ACC: x=-3.5416229 y=6.8988924 z=8.498817
GY: rotation around x axis=-1.401888 around y axis=0.94808537 around z axis=-0.054328486
ACC: x=-3.4464533 y=5.067328 z=10.134057
ACC: x=-3.0119057 y=4.8620253 z=9.235633
ACC: x=-1.3605051 y=4.2538977 z=7.4004774
ACC: x=-1.1049241 y=5.4563856 z=9.202114
ACC: x=-1.3628993 y=4.8620253 z=11.116279
ACC: x=-2.2571337 y=4.823119 z=10.349535
ACC: x=-3.5404258 y=5.189432 z=7.3819222
ACC: x=-3.4823663 y=5.1960163 z=7.6452847
ACC: x=-1.9776106 y=4.5884876 z=9.561843
GY: rotation around x axis=-0.23755397 around y axis=-0.57417756 around z axis=0.55287224
ACC: x=-0.7565677 y=4.563947 z=9.832388
ACC: x=-0.12988544 y=4.606444 z=8.956709
ACC: x=-0.7823054 y=4.907515 z=8.023568
ACC: x=-2.2942438 y=3.7337575 z=7.4070616
ACC: x=-3.1214404 y=4.210802 z=7.4351935
